Year,Month,Customer,Product,Units_Sold,Price_per_Unit,Revenue,Customer_Name
2019,Jan,Customer 103,Product D,93,22.42630503728556,2085.646368467557,Joshua Moore
2019,Jan,Customer 72,Product E,21,19.82177084203147,416.25718768266086,Joseph Wilson
2019,Jan,Customer 467,Product C,75,87.28673384861884,6546.505038646413,Hannah Harris
2019,Jan,Customer 100,Product C,22,10.359100007574524,227.90020016663954,Emily Davis
2019,Jan,Customer 344,Product D,30,25.172215514436235,755.1664654330871,Rachel Brown
2019,Jan,Customer 192,Product D,21,63.66074341463307,1336.8756117072944,Matthew Harris
2019,Jan,Customer 314,Product E,89,32.66676831881398,2907.342380374444,Joseph Robinson
2019,Jan,Customer 59,Product B,92,97.50677428993862,8970.623234674353,Chris Martinez
2019,Jan,Customer 271,Product C,55,98.40693415164488,5412.3813783404685,David Williams
2019,Jan,Customer 131,Product E,51,69.62921616583907,3551.0900244577924,Matthew White
2019,Jan,Customer 329,Product B,4,94.50916679006102,378.03666716024406,Rachel Jackson
2019,Jan,Customer 14,Product B,9,6.5167939609203485,58.65114564828313,Jane White
2019,Jan,Customer 386,Product D,92,46.81448690526212,4306.932795284115,Sophia Miller
2019,Jan,Customer 455,Product D,8,8.266909505945748,66.13527604756598,Chris White
2019,Jan,Customer 206,Product A,36,22.31242833986592,803.2474202351732,Daniel Taylor
2019,Jan,Customer 388,Product B,6,24.754457972477937,148.52674783486762,David White
2019,Jan,Customer 260,Product E,63,85.01705358652485,5356.074375951066,Ashley Johnson
2019,Jan,Customer 44,Product B,74,90.00859829062664,6660.636273506371,Joseph Robinson
2019,Jan,Customer 270,Product D,62,35.90638142251011,2226.1956481956267,Emily Jackson
2019,Jan,Customer 208,Product E,82,56.27075257696258,4614.201711310931,Megan Williams
2019,Jan,Customer 280,Product B,89,31.688778420301173,2820.3012794068045,Joshua Brown
2019,Jan,Customer 380,Product E,41,33.14598304188783,1358.985304717401,John Moore
2019,Jan,Customer 301,Product A,89,98.75425897704915,8789.129048957375,Sarah Williams
2019,Jan,Customer 344,Product A,8,5.524601126742228,44.19680901393782,Jane Smith
2019,Jan,Customer 139,Product C,81,72.57748551112175,5878.776326400862,Hannah Jackson
2019,Jan,Customer 419,Product A,5,92.99858345876815,464.9929172938408,Laura Thompson
